Nama_Tim,Penguasaan_Bola_Percent,Passes_Per_90,LongBalls_Per_90,Tackles_Per_90,Shots_Per_90,Carries_Per_90,xG_Per_90,Cluster
Sturm Graz,37.5,277.5,25.625,19.5,8.375,9.25,0.775,0
Young Boys,41.8,302.875,38.625,15.5,10.125,13.875,0.7,0
Sparta Prague,33.9,254.125,30.5,14.875,9.375,10.125,0.7875,0
Dinamo Zagreb,37.9,286.125,27.875,20.0,9.375,15.0,0.875,0
Slovan Bratislava,37.5,296.5,27.125,16.5,7.625,11.875,0.875,0
Leverkusen,56.3,537.6,38.2,14.8,15.1,18.6,1.51,1
Barcelona,61.3,534.6153846153846,40.27972027972028,16.013986013986013,15.454545454545451,20.27972027972028,2.251748251748252,1
Manchester City,63.4,600.3,27.1,12.2,16.7,31.5,2.1,1
Liverpool,51.0,446.31067961165047,39.22330097087379,14.271844660194176,13.883495145631066,19.126213592233007,2.0097087378640777,1
Paris S-G,61.4,570.2890173410404,42.94797687861272,19.421965317919074,18.4393063583815,28.4393063583815,2.057803468208093,1
Real Madrid,53.1,497.3426573426573,38.46153846153846,17.202797202797203,14.615384615384617,22.167832167832167,1.958041958041958,1
Milan,53.0,447.9,33.7,14.9,14.9,24.4,1.38,1
Atalanta,53.3,463.3,32.1,13.0,17.1,27.8,2.45,1
Stuttgart,58.9,496.25,29.75,18.0,17.25,17.625,1.7625,1
Bayern Munich,64.7,600.8571428571429,42.57142857142857,16.5,20.142857142857142,26.857142857142858,2.4,1
Club Brugge,43.8,413.75,39.833333333333336,15.833333333333334,10.083333333333334,11.916666666666666,0.9583333333333334,2
Sporting CP,49.1,426.0,33.4,17.3,12.2,18.3,1.28,2
Inter,47.0,412.2875816993464,34.77124183006536,13.594771241830063,11.437908496732026,14.83660130718954,1.588235294117647,2
Feyenoord,42.5,338.0,36.41666666666666,15.833333333333334,10.083333333333334,15.333333333333334,1.1083333333333334,2
RB Leipzig,47.5,398.75,27.25,17.875,12.75,12.0,1.5375,2
Arsenal,50.9,403.3571428571428,24.785714285714285,14.857142857142858,12.785714285714286,18.214285714285715,1.9285714285714288,2
Girona,50.9,424.125,36.0,16.875,9.625,16.625,1.2,2
Monaco,51.1,382.7,32.4,17.0,11.8,17.0,1.33,2
Lille,48.4,413.0,35.5,14.5,9.3,16.4,1.15,2
Red Star,44.6,329.625,35.0,15.75,11.625,18.0,1.1625,2
Shakhtar,44.9,372.375,38.75,16.25,9.25,12.875,1.0375,2
Aston Villa,47.3,384.75,22.83333333333333,15.0,12.666666666666666,14.416666666666666,1.5666666666666669,2
Atlético Madrid,47.4,465.4368932038834,33.49514563106796,18.932038834951456,11.941747572815531,20.388349514563107,1.407766990291262,3
Juventus,51.1,436.9902912621359,41.16504854368932,17.0873786407767,11.16504854368932,21.06796116504854,1.145631067961165,3
Dortmund,52.0,455.4285714285714,36.92857142857143,19.214285714285715,13.642857142857142,18.5,1.9857142857142855,3
RB Salzburg,45.1,394.625,33.0,21.125,9.25,22.0,0.825,3
Brest,41.8,321.2,43.2,18.9,13.1,13.5,1.14,3
Benfica,44.7,357.5,40.083333333333336,21.58333333333333,13.916666666666666,17.25,1.9666666666666668,3
PSV Eindhoven,54.8,453.170731707317,48.29268292682927,19.67479674796748,16.747967479674795,18.29268292682927,1.5691056910569106,3
Bologna,49.3,353.875,43.625,20.625,11.75,16.375,1.0125,3
Celtic,50.9,464.5,28.8,20.1,9.4,14.7,1.45,3
